Date,open,predicted
2024-08-28 04:00:00,227.92,229.82
2024-08-29 04:00:00,230.1,230.44
2024-08-30 04:00:00,230.19,230.9
2024-09-03 04:00:00,228.55,231.28
2024-09-04 04:00:00,221.66,231.35
2024-09-05 04:00:00,221.625,231.03
2024-09-06 04:00:00,223.95,230.57
2024-09-09 04:00:00,220.82,230.07
2024-09-10 04:00:00,218.92,229.18
2024-09-11 04:00:00,221.455,228.13
2024-09-12 04:00:00,222.5,227.12
2024-09-13 04:00:00,223.58,226.36
2024-09-16 04:00:00,216.54,225.43
2024-09-17 04:00:00,215.75,224.39
2024-09-18 04:00:00,217.55,223.84
2024-09-19 04:00:00,224.99,223.57
2024-09-20 04:00:00,229.97,223.71
2024-09-23 04:00:00,227.34,224.33
2024-09-24 04:00:00,228.645,225.08
2024-09-25 04:00:00,224.93,226.04
2024-09-26 04:00:00,227.3,226.8
2024-09-27 04:00:00,228.46,227.65
2024-09-30 04:00:00,230.04,228.6
2024-10-01 04:00:00,229.52,230.39
2024-10-02 04:00:00,225.89,231.77
2024-10-03 04:00:00,225.14,232.54
2024-10-04 04:00:00,227.9,232.33
2024-10-07 04:00:00,224.5,232.19
2024-10-08 04:00:00,224.3,231.89
2024-10-09 04:00:00,225.23,231.51
2024-10-10 04:00:00,227.78,231.44
2024-10-11 04:00:00,229.3,231.36
2024-10-14 04:00:00,228.7,231.28
2024-10-15 04:00:00,233.61,231.02
2024-10-16 04:00:00,231.6,231.8
2024-10-17 04:00:00,233.43,232.61
2024-10-18 04:00:00,236.18,233.6
2024-10-21 04:00:00,234.45,234.68
2024-10-22 04:00:00,233.885,236.39
2024-10-23 04:00:00,234.08,237.68
2024-10-24 04:00:00,229.98,238.33
2024-10-25 04:00:00,229.74,238.83
2024-10-28 04:00:00,233.32,239.32
2024-10-29 04:00:00,233.1,239.41
