Date,open,high,low,close,volume
2024-06-28 04:00:00,215.77,216.07,210.3,210.62,80927625.0
2024-07-01 04:00:00,212.09,217.51,211.92,216.75,59475152.0
2024-07-02 04:00:00,216.15,220.38,215.1,220.27,57112299.0
2024-07-03 04:00:00,220.0,221.55,219.03,221.55,36707517.0
2024-07-05 04:00:00,221.65,226.45,221.65,226.34,58287571.0
2024-07-08 04:00:00,227.09,227.85,223.25,227.82,57456163.0
2024-07-09 04:00:00,227.93,229.4,226.3721,228.68,47531745.0
2024-07-10 04:00:00,229.3,233.08,229.25,232.98,61539280.0
2024-07-11 04:00:00,231.39,232.39,225.77,227.57,63197762.0
2024-07-12 04:00:00,228.92,232.64,228.68,230.54,51621443.0
2024-07-15 04:00:00,236.48,237.23,233.09,234.4,60513737.0
2024-07-16 04:00:00,235.0,236.27,232.33,234.82,38468546.0
2024-07-17 04:00:00,229.45,231.4599,226.64,228.88,55878906.0
2024-07-18 04:00:00,230.28,230.44,222.27,224.18,64346030.0
2024-07-19 04:00:00,224.82,226.8,223.275,224.31,48020038.0
2024-07-22 04:00:00,227.01,227.78,223.09,223.96,44958139.0
2024-07-23 04:00:00,224.365,226.94,222.68,225.01,37919040.0
2024-07-24 04:00:00,224.0,224.8,217.13,218.54,59687424.0
2024-07-25 04:00:00,218.93,220.85,214.62,217.49,50451768.0
2024-07-26 04:00:00,218.7,219.49,216.01,217.96,39827645.0
2024-07-29 04:00:00,216.96,219.3,215.75,218.24,35153729.0
2024-07-30 04:00:00,219.19,220.325,216.12,218.8,40681625.0
2024-07-31 04:00:00,221.44,223.82,220.63,222.08,48422974.0
2024-08-01 04:00:00,224.37,224.48,217.02,218.36,61125243.0
2024-08-02 04:00:00,219.15,225.6,217.71,219.86,102635321.0
2024-08-05 04:00:00,199.09,213.5,196.0,209.27,119382508.0
2024-08-06 04:00:00,205.3,209.99,201.07,207.23,69545387.0
2024-08-07 04:00:00,206.9,213.64,206.39,209.82,60109650.0
2024-08-08 04:00:00,213.11,214.2,208.83,213.31,45466136.0
2024-08-09 04:00:00,212.1,216.78,211.97,216.24,40764531.0
2024-08-12 04:00:00,216.07,219.5099,215.6,217.53,36533169.0
2024-08-13 04:00:00,219.01,221.89,219.01,221.27,42281135.0
2024-08-14 04:00:00,220.57,223.03,219.7,221.72,40535664.0
2024-08-15 04:00:00,224.6,225.35,222.76,224.72,44961298.0
2024-08-16 04:00:00,223.92,226.8271,223.6501,226.05,42388970.0
2024-08-19 04:00:00,225.72,225.99,223.04,225.89,39167926.0
2024-08-20 04:00:00,225.77,227.17,225.45,226.51,29528757.0
2024-08-21 04:00:00,226.52,227.98,225.05,226.4,33953349.0
2024-08-22 04:00:00,227.79,228.34,223.9,224.53,38144864.0
2024-08-23 04:00:00,225.6589,228.22,224.33,226.84,38051965.0
2024-08-26 04:00:00,226.76,227.28,223.8905,227.18,27855445.0
2024-08-27 04:00:00,225.995,228.85,224.89,228.03,35071175.0
2024-08-28 04:00:00,227.92,229.86,225.68,226.49,36936833.0
